"","date_report","NL_new_cases","NL_import","NL_contacts","NS_new_cases","NS_import","NS_contacts","NB_new_cases","NB_import","NB_contacts","PEI_new_cases","PEI_import","PEI_contacts","YT_new_cases","YT_import","YT_contacts","NWT_new_cases","NWT_import","NWT_contacts","NU_new_cases","NU_import","NU_contacts"
"78",2020-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",2020-09-18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",2020-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",2020-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",2020-09-21,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",2020-09-22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",2020-09-23,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"85",2020-09-24,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",2020-09-25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",2020-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",2020-09-27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",2020-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",2020-09-29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"91",2020-09-30,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",2020-10-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",2020-10-02,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",2020-10-03,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",2020-10-04,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"96",2020-10-05,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",2020-10-06,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"98",2020-10-07,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"99",2020-10-08,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",2020-10-09,2,1,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",2020-10-10,3,0,3,3,2,1,20,1,9,0,0,0,0,0,0,0,0,0,0,0,0
"102",2020-10-11,0,0,0,0,0,0,14,0,14,2,2,0,0,0,0,0,0,0,0,0,0
"103",2020-10-12,1,1,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"104",2020-10-13,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"105",2020-10-14,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"106",2020-10-15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",2020-10-16,3,3,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",2020-10-17,0,0,0,2,2,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",2020-10-18,0,0,0,2,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"110",2020-10-19,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"111",2020-10-20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"112",2020-10-21,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"113",2020-10-22,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",2020-10-23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"115",2020-10-24,1,1,0,3,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"116",2020-10-25,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",2020-10-26,1,1,0,1,0,1,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0
"118",2020-10-27,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",2020-10-28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"120",2020-10-29,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"121",2020-10-30,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",2020-10-31,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"123",2020-11-01,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"124",2020-11-02,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",2020-11-03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",2020-11-04,1,1,0,4,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",2020-11-05,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",2020-11-06,0,0,0,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0
"129",2020-11-07,2,2,0,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",2020-11-08,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"131",2020-11-09,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",2020-11-10,0,0,0,3,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"133",2020-11-11,1,2,0,2,0,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0
"134",2020-11-12,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"135",2020-11-13,1,1,0,2,1,0,2,0,0,0,0,0,0,0,0,4,0,4,1,0,0
"136",2020-11-14,2,2,0,6,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",2020-11-15,2,2,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"138",2020-11-16,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"139",2020-11-17,2,1,0,5,0,3,4,0,0,0,0,0,1,0,1,0,0,0,34,0,8
"140",2020-11-18,2,1,1,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"141",2020-11-19,1,0,1,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0
"142",2020-11-20,3,1,1,5,0,2,9,0,0,0,0,0,3,0,3,0,0,0,10,0,0
"143",2020-11-21,5,0,5,8,0,0,23,0,0,0,0,0,0,1,2,0,0,0,25,0,0
"144",2020-11-22,3,1,2,11,0,6,6,0,0,0,0,0,3,0,0,0,0,0,21,0,0
"145",2020-11-23,2,1,1,11,0,8,15,0,0,1,1,0,6,0,5,0,0,0,4,0,0
"146",2020-11-24,2,0,2,37,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"147",2020-11-25,1,0,1,16,0,0,3,1,0,1,1,0,1,0,0,0,0,0,11,0,0
"148",2020-11-26,3,2,1,14,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"149",2020-11-27,4,2,1,9,0,0,12,2,0,0,0,0,3,1,2,0,0,0,4,0,0
"150",2020-11-28,2,1,1,14,0,0,4,0,0,2,1,0,3,0,0,0,0,0,5,0,0
"151",2020-11-29,4,2,1,10,0,0,14,1,0,0,0,0,0,0,0,0,0,0,13,0,0
"152",2020-11-30,1,0,1,15,0,0,6,1,0,0,0,0,2,0,0,0,0,0,4,0,0
"153",2020-12-01,1,1,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"154",2020-12-02,1,0,1,17,1,1,6,0,0,0,0,0,2,0,0,0,0,0,11,0,0
"155",2020-12-03,0,0,0,11,0,0,6,0,0,1,1,0,1,0,0,0,0,0,5,0,0
"156",2020-12-04,3,1,0,15,1,4,8,0,0,0,0,0,1,0,0,0,0,0,8,0,0
"157",2020-12-05,4,1,2,6,0,0,2,0,0,3,0,3,3,0,0,0,0,0,8,0,0
"158",2020-12-06,4,3,1,4,1,0,4,0,0,4,0,4,0,0,0,0,0,0,2,0,0
"159",2020-12-07,0,0,0,8,2,3,2,0,0,4,0,0,0,0,0,0,0,0,3,0,0
"160",2020-12-08,1,1,0,7,1,4,5,1,4,0,0,0,4,0,0,0,0,0,1,0,0
"161",2020-12-09,1,1,0,6,1,4,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0
"162",2020-12-10,1,0,0,4,1,2,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"163",2020-12-11,1,0,0,9,1,6,8,2,6,0,0,0,0,0,0,5,0,0,16,0,0
"164",2020-12-12,3,2,0,7,3,4,1,0,0,5,3,2,0,0,0,1,1,0,2,0,0
"165",2020-12-13,0,0,0,6,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",2020-12-14,1,1,0,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,9,0,0
"167",2020-12-15,0,1,0,6,0,6,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0
"168",2020-12-16,5,5,0,4,0,3,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"169",2020-12-17,3,2,1,6,3,2,6,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"170",2020-12-18,5,4,0,6,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"171",2020-12-19,8,8,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"172",2020-12-20,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",2020-12-21,0,0,0,2,0,1,4,0,1,0,0,0,0,0,0,0,0,0,3,0,0
"174",2020-12-22,1,1,0,7,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",2020-12-23,1,1,0,4,0,3,5,4,1,0,0,0,0,0,0,0,0,0,2,0,0
"176",2020-12-24,0,0,0,7,1,3,2,0,0,3,3,0,1,0,0,0,0,0,1,0,0
"177",2020-12-25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",2020-12-26,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"179",2020-12-27,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",2020-12-28,2,2,0,13,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"181",2020-12-29,1,0,0,2,1,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"182",2020-12-30,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",2020-12-31,0,0,0,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",2021-01-01,0,0,0,11,3,8,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"185",2021-01-02,0,0,0,2,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",2021-01-03,0,0,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",2021-01-04,1,1,0,4,1,1,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"188",2021-01-05,1,1,0,3,1,0,27,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"189",2021-01-06,0,0,0,12,4,8,31,0,0,4,4,0,1,0,0,0,0,0,0,0,0
"190",2021-01-07,0,0,0,3,1,3,24,0,0,1,1,0,3,0,0,0,0,0,0,0,0
"191",2021-01-08,0,0,0,2,2,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"192",2021-01-09,0,0,0,3,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",2021-01-10,1,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",2021-01-11,0,0,0,5,4,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",2021-01-12,0,0,0,1,0,1,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"196",2021-01-13,0,0,0,8,5,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",2021-01-14,1,1,0,6,2,4,23,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"198",2021-01-15,1,1,0,2,0,2,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"199",2021-01-16,0,0,0,4,3,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",2021-01-17,1,1,0,3,3,0,36,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"201",2021-01-18,0,0,0,0,0,0,26,0,0,4,3,1,0,0,0,0,0,0,0,0,0
"202",2021-01-19,0,0,0,4,3,1,31,0,0,2,1,1,0,0,0,2,0,0,0,0,0
"203",2021-01-20,0,0,0,3,2,1,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"204",2021-01-21,1,0,1,1,1,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"205",2021-01-22,1,1,0,5,3,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"206",2021-01-23,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",2021-01-24,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"208",2021-01-25,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"209",2021-01-26,0,0,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210",2021-01-27,2,1,0,4,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211",2021-01-28,4,1,3,0,0,0,27,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"212",2021-01-29,4,2,2,1,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213",2021-01-30,0,0,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"214",2021-01-31,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"215",2021-02-01,0,0,0,1,0,1,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"216",2021-02-02,0,0,0,1,1,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"217",2021-02-03,2,2,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218",2021-02-04,1,0,1,1,1,0,16,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"219",2021-02-05,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",2021-02-06,3,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"221",2021-02-07,1,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",2021-02-08,11,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",2021-02-09,30,0,0,1,1,0,15,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"224",2021-02-10,53,0,0,1,0,1,14,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"225",2021-02-11,100,0,0,2,0,2,2,0,0,0,0,0,0,0,0,4,0,0,3,0,0
"226",2021-02-12,50,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227",2021-02-13,26,0,0,2,2,0,16,0,0,0,0,0,1,0,0,0,0,0,5,0,0
"228",2021-02-14,11,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"229",2021-02-15,7,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,7,0,0
"230",2021-02-16,7,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"231",2021-02-17,44,0,2,3,1,1,3,0,0,0,0,0,0,0,0,4,0,0,1,0,0
"232",2021-02-18,48,0,0,2,0,0,4,0,0,1,1,0,0,0,0,0,0,0,6,0,0
"233",2021-02-19,60,0,0,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"234",2021-02-20,38,0,0,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"235",2021-02-21,25,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"236",2021-02-22,13,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,12,0,0
"237",2021-02-23,15,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238",2021-02-24,8,0,0,3,0,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0
"239",2021-02-25,10,0,0,8,1,4,1,0,1,3,0,0,0,0,0,0,0,0,4,0,0
"240",2021-02-26,4,0,0,10,2,5,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"241",2021-02-27,4,0,0,4,1,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"242",2021-02-28,7,0,0,3,2,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
"243",2021-03-01,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"244",2021-03-02,5,0,0,1,0,1,4,0,0,4,0,1,0,0,0,0,0,0,1,0,0
"245",2021-03-03,3,0,3,3,0,3,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0
"246",2021-03-04,5,1,0,3,0,2,5,1,0,1,0,1,0,0,0,0,0,0,10,0,0
"247",2021-03-05,1,0,1,2,0,1,4,1,0,1,0,1,0,0,0,0,0,0,4,0,0
"248",2021-03-06,2,0,2,6,2,4,6,3,2,0,0,0,0,0,0,0,0,0,4,0,0
"249",2021-03-07,1,1,0,2,1,1,2,0,1,2,0,2,0,0,0,0,0,0,4,0,0
"250",2021-03-08,3,0,3,0,0,0,4,2,3,2,1,1,0,0,0,0,0,0,0,0,0
"251",2021-03-09,1,0,1,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"252",2021-03-10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253",2021-03-11,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",2021-03-12,1,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"255",2021-03-13,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"256",2021-03-14,0,0,0,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"257",2021-03-15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"258",2021-03-16,1,1,0,2,0,1,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0
"259",2021-03-17,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,12,0,0
"260",2021-03-18,1,1,0,3,1,2,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0
